spontaneity,media_sharing,spending_habit,scheduling,personality,text
2,0,0,0,1,"Just landed in Bangkok! No plans, just vibes. Gonna explore the city on foot and see where it takes me. Saving money by staying at hostels and eating street food. Can't wait to try Muay Thai and go on a river adventure tomorrow. So much to do, so little time! Making new friends at every turn. Who needs Instagram when you're living in the moment?"
0,2,2,1,2,"Checked into my suite at the Ritz-Carlton Maldives. Everything meticulously planned months in advance. Just posted some breathtaking shots of the overwater villa - my followers are going crazy! Splurging on a private dinner on the beach tonight. Tomorrow's schedule: sunrise yoga, followed by a day at the spa. Plenty of time to read and recharge between activities. Loving the peace and quiet of my private sanctuary."
0,0,2,0,1,"Our African safari itinerary is locked and loaded! Booked the best lodges in Kenya and Tanzania. Too busy experiencing life to post much, but the memories will last forever. Splurged on a hot air balloon ride over the Serengeti - worth every penny! Game drives, nature walks, and a visit to a Maasai village all packed into our days. Can't stop chatting with our guides and fellow travelers. This is the trip of a lifetime!"
2,2,0,2,0,"Spontaneously booked a flight to Bali this morning - sometimes you just need to get away! Found a cute, affordable Airbnb near the beach. Keeping my followers updated with serene shots of rice terraces and temple visits. Taking it slow, mixing beach days with gentle yoga sessions. No rush, no fuss - just soaking in the island vibes. Enjoying quiet evenings with a book on my private balcony. Bliss!"
0,2,0,1,1,Touchdown in Peru! Months of planning paid off with this budget-friendly backpacking trip. Sharing daily updates of my Inca Trail adventure - my Instagram is blowing up! Found great deals on hostels and local eateries. Excited for tomorrow's white-water rafting expedition. Taking my time to fully experience each destination. Made instant friends with my hiking group - we're already planning karaoke night in Cusco!
2,0,2,0,2,"Impulse-booked a wellness retreat in the Swiss Alps - sometimes you need to treat yourself! Staying off social media to fully disconnect. Indulging in gourmet organic meals and premium spa treatments. Days filled with meditation, massages, and mindfulness workshops. Squeezing in as many treatments as possible. Savoring the solitude and mountain views from my private chalet. This is the reset I needed."
0,0,0,0,1,"Our group's Southeast Asia tour is all set! Snagged some great deals on flights and accommodations. Too busy enjoying the moment to post much online. Beach-hopping in Thailand, temple-gazing in Cambodia, and food tours in Vietnam - all on a shoestring budget. Packed days, but always ending with chill nights at local hangouts. Love chatting with locals and fellow backpackers. Creating memories, not Instagram posts!"
2,2,2,2,0,"Woke up and decided to jet off to New Zealand! Treating myself to a high-end eco-lodge near Queenstown. Keeping my followers in the loop with stunning landscape shots. Splurged on a private heli-skiing experience - what a rush! Taking it day by day, mixing adrenaline activities with quiet hikes. Enjoying solo exploration and the occasional chat with fellow adventure seekers. Living my best life, one spontaneous decision at a time."
0,2,2,0,2,"Finally embarking on my carefully planned Arctic expedition! Booked the best ice-class cruise ship for this once-in-a-lifetime trip. Sharing daily updates of icebergs, polar bears, and the Northern Lights. No expense spared for top-notch gear and exclusive excursions. Packed schedule of zodiac cruises, ice walks, and wildlife spotting. Enjoying the solitude of the frozen landscape. Group activities are great, but cherishing my quiet moments on deck."
2,0,0,2,1,"Surprise! Just arrived in Goa for an impromptu beach getaway. Found a cheap, cheerful hostel right by the ocean. Living in the moment rather than through a lens - barely touched my phone. Discovered amazing local markets and street food - easy on the wallet, big on flavor. No set plans, just following the good vibes. Made instant friends at a beachside yoga class. Who needs luxury when you've got great company and endless sunshine?"
0,2,0,1,1,Our Europe backpacking trip is kicking off! Months of planning helped us snag the best budget-friendly options. Posting daily highlights - from Berlin's street art to Alpine hikes. Found great free walking tours and cheap eats in every city. Tomorrow's plan: canyoning in the Swiss Alps! Keeping our schedule flexible for spontaneous detours. Love swapping travel tales with other backpackers at our hostels. This is what adventure is all about!
2,2,2,0,1,Surprise getaway to the Maldives! Treating myself to an overwater bungalow at a 5-star resort. My Instagram is on fire with these picture-perfect views! Splurged on a sunset dolphin cruise and a private beach dinner. Squeezing in as many spa treatments and water activities as possible. Love chatting with the friendly staff and other guests. Who says you can't be spontaneous and luxurious at the same time?
0,0,0,1,2,"My long-awaited yoga retreat in India is finally here! Found an affordable ashram with great reviews. Keeping off social media to fully immerse in the experience. Enjoying simple vegetarian meals and modest accommodations. Days filled with meditation, yoga, and self-reflection. Taking my time to absorb the teachings and connect with my inner self. Grateful for the quiet moments and occasional deep conversations with fellow seekers."
2,2,0,0,0,"Just booked a last-minute flight to Costa Rica! Found a great deal on a eco-hostel in the rainforest. Sharing daily updates of my wildlife encounters and jungle treks. Saving money by cooking my own meals and using public transport. Packed schedule of zip-lining, waterfall rappelling, and night hikes. Enjoying solo adventures but also connecting with nature enthusiasts. Sometimes the best trips are the unexpected ones!"
0,2,2,0,1,"Our girls' trip to Paris is officially underway! Every detail meticulously planned for maximum indulgence. Posting every chic moment - from rooftop cocktails to fashion week shows. Splurging on michelin-star restaurants and designer shopping sprees. Days filled with spa treatments, wine tastings, and art tours. Always up for making new friends at exclusive events. Living our best lives and sharing every glamorous moment!"
